message,label
"Server is down for all users, need immediate fix","Urgent"
"Payment gateway failure affecting all customers","Urgent"
"Critical bug in production, users cannot log in","Urgent"
"Database latency extremely high, investigation required now","Urgent"
"Fire alarm triggered, evacuate immediately","Urgent"
"High memory usage detected on main server","Urgent"
"Security breach suspected, multiple failed login attempts","Urgent"
"Patient in ward 3 showing severe chest pain, need doctor now","Urgent"
"Network outage in US-East region, on-call required","Urgent"
"API response time exceeded threshold, urgent attention needed","Urgent"
"Server CPU usage at 99%, potential overload","Urgent"
"Incident triggered on monitoring dashboard, check immediately","Urgent"
"Unauthorized access attempt detected on admin account","Urgent"
"Backup process failed, risk of data loss","Urgent"
"Production deployment failed, rollback needed urgently","Urgent"
"Website is down, customers facing 500 errors","Urgent"
"One of the critical services is not responding","Urgent"
"High error rate observed in user signups","Urgent"
"Database replication stopped, needs urgent fix","Urgent"
"System error reported by multiple clients, urgent","Urgent"
"Power outage in data center, systems offline","Urgent"
"DDoS attack suspected, traffic unusually high","Urgent"
"Server disk space at 98%, clear logs immediately","Urgent"
"Payment reconciliation mismatch detected","Urgent"
"Critical patch needed to fix vulnerability","Urgent"
"Email service outage, unable to send notifications","Urgent"
"Main application crashed unexpectedly, urgent restart required","Urgent"
"Alert: unusual spike in API errors","Urgent"
"Customer raised high-priority issue, needs immediate resolution","Urgent"
"Login system fully non-functional, blocking all users","Urgent"
"Deadline for assignment is today 5 PM, submit ASAP","Urgent"
"Production cron job failed to execute","Urgent"
"Emergency: hospital patient needs immediate attention","Urgent"
"High priority customer escalation received","Urgent"
"Hazard detected in lab, inform team immediately","Urgent"
"Email server blacklisted, urgent fix needed","Urgent"
"SMS alerts not going out, urgent fix required","Urgent"
"Database credentials leaked accidentally, urgent rotation needed","Urgent"
"Severe weather alert, evacuate staff immediately","Urgent"
"Crash loop detected in main application container","Urgent"
"Firewall misconfiguration causing blocked access","Urgent"
"Fraudulent transaction pattern detected","Urgent"
"Production Kafka cluster unstable, urgent investigation","Urgent"
"Key certificate expired, services may go down","Urgent"
"Server temperature rising, cooling failure suspected","Urgent"
"Main router offline, internet connectivity down","Urgent"
"Critical SLA breach, immediate action required","Urgent"
"User data corruption identified during import","Urgent"
"Ransomware detected, isolate servers immediately","Urgent"
"My grandmother fainted at home, need help immediately","Urgent"
"Accident reported near hostel gate, call ambulance now","Urgent"
"Gas leak smell in the kitchen, everyone evacuate quickly","Urgent"
"Fire spotted in the lab, inform security right away","Urgent"
"Student collapsed during sports event, need medical help","Urgent"
"Severe water leakage in server room, shut down power immediately","Urgent"
"Child missing in the mall, inform security urgently","Urgent"
"Strange burning smell from electrical panel, check immediately","Urgent"
"Elevator stuck with people inside, call maintenance urgently","Urgent"
"Flooding in basement parking, move vehicles immediately","Urgent"
"Let's meet for lunch today","Normal"
"Happy birthday! Have a wonderful day","Normal"
"Can we reschedule tomorrow's meeting?","Normal"
"Let me know when you're free to talk","Normal"
"Please review the document whenever possible","Normal"
"Team outing is planned for next Friday","Normal"
"Did you receive my previous email?","Normal"
"Your order has been shipped","Normal"
"Let's catch up this weekend","Normal"
"Don't forget to bring your ID card tomorrow","Normal"
"Here are the notes from today's meeting","Normal"
"Good morning, hope you're doing well","Normal"
"Reminder: monthly newsletter is out","Normal"
"Can you join the call if free?","Normal"
"Sending the updated slides","Normal"
"Please find attached the minutes","Normal"
"Let me know your thoughts on this","Normal"
"Happy New Year!","Normal"
"We can complete this task later","Normal"
"The report is due next week","Normal"
"Thanks for your help earlier","Normal"
"Your appointment is confirmed","Normal"
"I will check and update you shortly","Normal"
"Meeting postponed to next Monday","Normal"
"No rush, complete it when comfortable","Normal"
"Joining the office late today","Normal"
"Let's discuss this in tomorrow's call","Normal"
"Please share your availability","Normal"
"The file has been uploaded","Normal"
"Your payment is successful","Normal"
"Let's schedule a quick sync-up","Normal"
"Here is your travel itinerary","Normal"
"The package will arrive by evening","Normal"
"Please check the attached invoice","Normal"
"Can we move the call to 5 PM?","Normal"
"Your subscription has been renewed","Normal"
"Team meeting starts in 10 minutes","Normal"
"I'll get back to you with details","Normal"
"Reminder: fill the monthly survey","Normal"
"Let's meet at the café","Normal"
"See you at the event tomorrow","Normal"
"Here is the updated spreadsheet","Normal"
"Thank you for the update","Normal"
"Sending you the summary now","Normal"
"I will be on leave tomorrow","Normal"
"Your ticket has been generated","Normal"
"Please approve this request when free","Normal"
"Looking forward to our discussion","Normal"
"Let's finalize the plan today","Normal"
"Your application is being processed","Normal"
"Meeting ended, sharing notes soon","Normal"
"Let me know if any changes are needed","Normal"
"Just reached home safely","Normal"
"Share the photos from today's event when you get time","Normal"
"I will be a bit late to class today","Normal"
"Let's plan a trip next month","Normal"
"Please remind me to bring the charger tomorrow","Normal"
"I enjoyed the session today, thanks","Normal"
"Can you send me the notes later?","Normal"
"I will call you after dinner","Normal"
"The match was fun to watch","Normal"
"Ping me when you are free","Normal"